,Unnamed: 0,Unnamed: 0.1,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Ice Cream Shop
236,236,236,9,6,5,78.2,61.86,0.0,7.5,Clear,16
237,237,237,9,7,5,79.4,57.4,0.0,6.9,Clear,18
238,238,238,9,8,5,79.7,57.16,0.0,9.2,Partially cloudy,18
239,239,239,9,9,3,80.4,55.9,0.0,9.9,Partially cloudy,12
240,240,240,9,10,5,80.1,57.95,0.0,9.2,Partially cloudy,18
241,241,241,9,11,5,80.6,63.1,0.0,10.3,Partially cloudy,15
242,242,242,9,12,1,78.1,73.28,0.14,13.8,"Rain, Partially cloudy",3
243,243,243,9,13,7,77.3,71.26,0.0,11.4,Partially cloudy,21
244,244,244,9,14,3,80.0,63.49,0.0,12.1,Clear,10
245,245,245,9,15,4,80.6,59.51,0.0,9.2,Clear,13
246,246,246,9,16,4,79.1,62.05,0.0,12.1,Clear,17
247,247,247,9,17,6,77.5,64.78,0.0,10.3,Partially cloudy,22
248,248,248,9,18,6,74.5,87.4,0.67,11.0,"Rain, Overcast",22
249,249,249,9,19,1,77.2,76.35,0.0,11.8,Partially cloudy,2
250,250,250,9,20,3,77.7,67.0,0.0,8.6,Partially cloudy,11
251,251,251,9,23,4,78.2,67.19,0.0,8.0,Clear,15
252,252,252,9,24,2,79.7,63.7,0.0,5.3,Clear,8
253,253,253,9,25,6,79.4,63.18,0.0,6.4,Clear,24
254,254,254,9,26,2,78.3,64.6,0.0,8.6,Partially cloudy,8
255,255,255,9,27,2,75.9,73.99,0.71,8.1,"Rain, Partially cloudy",6
256,256,256,9,28,3,74.3,63.51,0.01,12.1,Rain,11
257,257,257,9,29,6,67.1,55.89,0.0,12.6,Clear,23
258,258,258,9,30,1,62.7,61.48,0.0,8.6,Clear,4
259,259,259,10,1,8,65.0,62.65,0.0,9.7,Clear,29
260,260,260,10,2,4,67.9,63.89,0.0,8.6,Partially cloudy,15
261,261,261,10,3,5,71.2,61.92,0.0,6.9,Partially cloudy,20
262,262,262,10,4,4,73.2,63.29,0.0,16.1,Partially cloudy,15
263,263,263,10,5,3,71.0,57.34,0.0,18.5,Clear,12
264,264,264,10,6,6,69.8,66.0,0.0,15.0,Clear,23
265,265,265,10,7,2,70.5,77.73,0.09,13.8,"Rain, Overcast",7
266,266,266,10,8,5,74.8,63.24,0.0,21.4,Partially cloudy,17
267,267,267,10,9,2,66.8,40.1,0.0,12.1,Clear,6
268,268,268,10,10,9,63.0,50.15,0.0,9.2,Clear,34
269,269,269,10,11,4,60.7,56.45,0.0,11.5,Clear,15
270,270,270,10,12,7,60.4,61.43,0.0,9.2,Clear,26
271,271,271,10,13,2,66.5,61.09,0.0,10.4,Clear,6
272,272,272,10,14,2,67.6,64.67,0.0,9.2,Partially cloudy,6
273,273,273,10,15,5,69.1,72.72,0.0,12.1,Overcast,16
274,274,274,10,16,5,70.0,72.85,0.04,8.1,"Rain, Partially cloudy",19
275,275,275,10,17,3,69.9,69.08,0.0,8.1,Clear,11
276,276,276,10,18,4,71.3,69.43,0.0,9.7,Clear,15
277,277,277,10,19,4,74.3,63.47,0.0,6.9,Partially cloudy,13
278,278,278,10,20,6,73.5,63.11,0.0,7.5,Partially cloudy,18
279,279,279,10,21,3,64.4,56.44,0.0,23.6,Partially cloudy,10
280,280,280,10,22,5,55.2,51.24,0.0,20.1,Clear,17
281,281,281,10,23,8,57.5,49.2,0.0,6.9,Clear,29
282,282,282,10,24,5,62.7,50.02,0.0,15.0,Partially cloudy,21
283,283,283,10,25,3,63.0,52.67,0.0,9.2,Clear,11
284,284,284,10,26,9,62.4,62.83,0.0,9.7,Partially cloudy,35
285,285,285,10,27,3,67.7,65.25,0.0,11.0,Partially cloudy,11
286,286,286,10,28,6,68.8,64.42,0.0,9.2,Clear,22
287,287,287,10,29,5,67.9,60.69,0.0,5.7,Clear,17
288,288,288,10,30,3,68.8,59.29,0.0,9.7,Clear,10
289,289,289,10,31,2,69.6,56.54,0.0,6.4,Clear,7
290,290,290,11,1,5,68.5,62.36,0.0,11.4,Partially cloudy,19
291,291,291,11,2,4,67.4,79.43,0.0,7.5,Partially cloudy,14
292,292,292,11,3,5,69.6,66.64,0.0,11.0,Partially cloudy,17
293,293,293,11,4,6,69.9,53.28,0.0,13.3,Clear,22
294,294,294,11,5,4,59.3,56.33,0.0,8.6,Clear,17
295,295,295,11,6,6,58.4,56.35,0.0,6.4,Partially cloudy,22
296,296,296,11,7,2,58.1,51.23,0.0,11.5,Partially cloudy,8
297,297,297,11,8,4,55.3,55.23,0.0,6.4,Partially cloudy,16
298,298,298,11,9,4,58.2,51.29,0.0,17.4,Partially cloudy,16
299,299,299,11,10,3,53.9,50.74,0.0,7.5,Clear,12
300,300,300,11,11,5,54.9,46.63,0.0,14.4,Partially cloudy,14
301,301,301,11,12,1,56.7,46.9,0.0,17.9,Partially cloudy,3
