,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Ice Cream Shop
343,12,9,31,34.2,48.03,0.0,14.4,Clear,102
344,12,10,27,35.9,49.44,0.0,7.5,Clear,90
345,12,11,36,38.6,58.35,0.0,9.7,Partially cloudy,125
346,12,12,25,52.0,76.82,0.0,9.4,Overcast,80
347,12,13,26,50.4,93.79,0.06,8.3,"Rain, Overcast",85
348,12,14,42,48.8,72.83,0.0,11.0,Partially cloudy,142
349,12,15,32,37.0,49.95,0.0,17.9,Partially cloudy,105
350,12,16,26,36.1,41.92,0.0,12.1,Partially cloudy,87
351,12,17,35,46.6,77.37,0.01,9.2,"Rain, Overcast",119
352,12,18,36,54.3,86.01,0.17,20.2,"Rain, Overcast",126
353,12,19,31,37.2,79.74,0.0,11.5,Overcast,103
354,12,20,34,42.2,82.17,0.0,8.6,Partially cloudy,120
355,12,21,30,45.7,61.5,0.0,6.9,Partially cloudy,100
356,12,22,36,54.9,49.24,0.0,14.4,Partially cloudy,121
357,12,23,26,50.9,47.38,0.0,13.3,Partially cloudy,88
358,12,24,27,57.2,66.6,0.0,8.0,Partially cloudy,81
359,12,25,15,61.3,76.72,0.0,7.5,Partially cloudy,53
360,12,26,26,58.6,87.61,0.01,10.3,"Rain, Overcast",88
361,12,27,22,62.2,86.62,0.01,12.6,"Rain, Overcast",73
362,12,28,30,55.9,67.24,0.0,7.5,Partially cloudy,101
363,12,29,26,56.4,54.45,0.68,26.0,"Rain, Partially cloudy",81
364,12,30,23,42.5,36.0,0.0,16.1,Clear,75
365,12,31,34,39.8,60.94,0.12,8.0,"Rain, Overcast",105
